tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.021000000000000001,-11642,3552,-4777,-8017,4133,-4246,-3192,-4935
0.021499999999999998,-10817,3284,4897,-9597,4683,-5161,-11074,-12964
0.021999999999999999,-1455,5661,-50,-4492,3311,-5707,-14544,-22404
0.022499999999999999,4430,13501,4528,6089,4587,-1516,-12262,-14679
0.023,10613,17326,12679,5743,10245,-1646,-5609,-3917
0.0235,11081,16368,3791,5520,11094,-3964,-9939,-3117
0.024,14151,17250,-14355,-3138,8186,-20290,-19679,-30023
0.024500000000000001,16462,19076,-43477,-11779,1333,-46128,-31574,-40594
0.025000000000000001,9686,14662,-52456,-16101,-1279,-45887,-30644,-29243
0.025499999999999998,-12046,3971,-20866,-9331,1216,-9708,-14803,-12679
0.025999999999999999,-30718,-4769,11696,171,3499,25490,-4668,-14221
0.026499999999999999,-18892,5993,36968,13897,6944,30949,3086,-30797
0.027,16899,22604,33138,20583,6664,15353,5344,-16119
0.0275,60958,32693,-22958,9862,9137,-28202,-23546,-731
0.028000000000000001,74610,32689,-102072,-13001,6391,-67549,-42649,-7562
0.028500000000000001,30669,20940,-125441,-39602,1096,-64961,-44527,-9848
0.029000000000000001,-48122,-6257,-54603,-51362,-8838,-12097,-34220,-15777
0.029499999999999998,-89924,-26932,28742,-21949,-7799,42990,-7062,-7824
0.029999999999999999,-57755,-20325,65168,6433,2339,46446,148,-2880
0.030499999999999999,1293,6200,59674,13453,8093,32928,-11020,11924
0.031,37956,26921,74223,23174,16848,57511,-10518,31304
0.0315,37038,28006,113665,44565,32017,92628,24368,37213
0.032000000000000001,11888,8898,124245,67223,36913,90526,53819,54392
0.032500000000000001,3349,523,100440,72219,35211,55002,40452,43966
0.033000000000000002,12548,12499,70792,59061,31684,20403,21097,30670
0.033500000000000002,35623,24689,60496,51433,37073,13703,18941,14060
0.034000000000000002,35233,27364,59178,47013,40361,26365,12530,32479
0.034500000000000003,21183,20759,48760,36422,41247,29141,12654,32474
0.035000000000000003,16693,13172,33201,25370,35954,25566,19223,54071
0.035499999999999997,11441,11871,21886,17116,32149,19428,13839,39341
0.035999999999999997,6874,12712,18674,12882,26156,12732,11331,23748
0.036499999999999998,4991,12134,18619,10813,18615,7732,12667,9015
0.036999999999999998,3658,16679,15269,6688,13441,7952,13412,23303
0.037499999999999999,-1907,12716,-503,-3593,10466,-1262,7074,29107
0.037999999999999999,-5241,9037,-28804,-16364,5189,-38171,1290,16882
0.0385,-10502,8201,-79159,-37615,-1721,-79730,-21127,9186
0.039,-17167,5039,-129911,-55685,-6746,-88700,-34622,5585
0.0395,-34067,-2850,-141031,-54199,-8776,-54322,-33379,3678
0.040000000000000001,-51429,-15117,-75186,-28957,-1210,2262,-9071,20657
