tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,1748.5229759950544,-725.10615843017513,3225.3966285140013,-3373.5063813711645,-3164.4086708864779,-3851.8178556930498,-1628.7952670266195,7769.7147288984379
0.00050000000000000001,2209.8146192821223,-3888.6164731283152,25443.871359336408,-4789.8462045592787,-2591.770037215967,-4450.4260206702074,773.22312518798572,-12706.250368232762
0.001,-3850.6925298923816,-18139.008596673797,40895.845811133266,5636.6875292522018,-3023.8703790256477,-3380.5293377397611,5240.2434886542251,-23378.675985708061
0.0015,-13285.242474882805,-37792.933410419137,42893.690711059295,24223.322828453944,-3210.3464403354155,-1833.1911320053841,11732.513849708885,-22727.813931579403
0.002,-17236.176720609328,-46741.014167494781,30249.126138751279,37509.458319591227,-594.38440229813568,-2582.7265557885403,17738.014065373107,-18342.296677524741
0.0025000000000000001,-11908.12883760847,-36729.845382102387,9500.3760758018034,36910.596661396834,5737.3816638637072,-7258.3106829952594,21731.406317004745,-17983.475815360922
0.0030000000000000001,-4272.8290637733444,-19246.603778266785,-4883.5140724861049,27904.054989039578,11835.961901953233,-13617.757820374893,24274.510415401863,-21993.822571493522
0.0035000000000000001,-3876.56681608074,-12053.475007603738,-3573.2766738040664,21382.277322001435,12786.736757464198,-17174.930196888941,27198.370852180022,-24689.13623726818
0.0040000000000000001,-12101.997402802321,-20699.66167994522,11978.848022166421,23527.87202952629,8053.5201115656455,-16518.662227026543,29473.911152978304,-23713.830006462533
0.0044999999999999997,-19740.847289396381,-32999.612865101357,30131.400470667853,31107.988697435663,2608.7300843551493,-15257.838310806823,27739.868887063654,-23589.689674217734
0.0050000000000000001,-17312.148391044953,-35286.039556177377,41060.182830395403,38053.081222618515,526.86179372989864,-17638.709754071278,19743.886931784764,-29147.115077234928
0.0054999999999999997,-4919.0711256249269,-25607.204161244124,40527.712966896026,40132.306888220599,1587.4470244229378,-23500.137910505884,8943.111932401247,-37164.165614565893
0.0060000000000000001,7175.5736226474328,-13937.750296192276,32464.157065718333,37645.179595198948,2817.1939973838016,-28232.122153373592,1670.9936675273057,-39603.225498909931
0.0064999999999999997,8985.9817327091514,-8992.7502065909248,23748.414539918223,32511.550898435242,2745.855737891121,-27147.267494327578,1384.2839245623036,-33236.069132597506
0.0070000000000000001,-468.22190657348983,-11287.32965349498,19389.451751922596,26764.788406873096,1753.4000577439692,-19641.714803331608,6074.7443500820627,-22585.118203221657
0.0074999999999999997,-12680.593611646436,-15560.76651301427,17794.937910876823,21934.223003229312,906.83730337393354,-10395.923451270966,11720.719672421375,-13719.434313969798
0.0080000000000000002,-17188.093488537736,-17258.517872562472,13648.819646685872,19476.951637642749,1278.5735388689354,-6412.7889064896244,15619.999558690601,-9164.9441142983142
0.0085000000000000006,-10500.560943233935,-14846.307211611771,3859.8431294068323,19162.858781061357,3914.6607143547371,-10944.822269559798,17559.795639029504,-8205.4678394469502
0.0089999999999999993,250.99788355429337,-10647.629710873667,-6822.5057189217978,19311.754075635934,8234.7058558627687,-19734.101301951105,18592.919961149168,-9186.1410444555986
0.0094999999999999998,4816.9421815685982,-8459.7062050210534,-10484.738567640987,18057.520086257115,11756.500343724874,-25308.631437951364,19620.95601490881,-9998.8424158459857
0.01,1251.2039528920195,-9856.1109502371964,-4255.1940812592784,15384.394862484189,12015.66260563276,-25619.367065547493,19672.70599023348,-8593.2953141984835
0.010500000000000001,-2462.1261846402122,-11690.068998517394,5576.0825074081476,12128.264878918762,9086.5804667324992,-25676.495473887931,17038.051897265381,-4000.2890932792525
0.010999999999999999,-82.131668412959698,-10441.592526674014,11004.107693134858,8956.4370681002838,4799.5077331407811,-29263.890525284205,11900.516197619665,3127.0460283755747
0.0115,4496.4715125132825,-6906.0675715024609,9787.424229767832,5853.6750261506422,589.34946712803685,-32643.789196790894,7125.1436023091519,11697.792930424421
0.012,4162.2765864099001,-4547.4244139784269,4814.2592832114096,2456.5214318338603,-3079.4593673570635,-29792.992257735328,4965.6017023678542,21021.217035247799
0.012500000000000001,350.67833937286377,-3223.4143927219411,-2455.5399882556731,-2554.4467852267926,-5377.9749983890079,-21544.505633353681,4675.5357655780863,30129.667692996143
0.012999999999999999,614.10331991820567,146.61235954713356,-11124.596409030897,-9914.9771894274236,-5436.4616559874412,-15241.770342406255,4061.2208868295093,36895.869030557173
0.0135,5465.5826605821239,4601.4711517870528,-15876.785640784561,-16930.047979968414,-4083.93044015135,-15453.002917816204,2932.1382872601275,39344.574879091218
0.014,5479.038298809327,3686.0612298435335,-9499.0068225095347,-17745.419440799775,-3835.5544804638894,-18588.141209760812,3219.1739400916376,37283.848484789516
0.014500000000000001,-5207.146063572789,-5550.6527838266084,6682.8142254370459,-9465.9927967925614,-5957.327152640295,-18082.908793108847,5794.4570748101878,31786.756289693865
0.014999999999999999,-18996.535171750624,-16687.054876196045,21375.632366017675,3343.4688607218986,-8688.5690918305863,-12467.701777865346,8314.4841910118794,23806.275499891148
0.0155,-23378.604861765303,-20501.992485075039,24629.518995285514,12264.362532909807,-9102.4737627064878,-6060.2498917988687,7717.9429932616331,14431.496479888749
0.016,-14792.130419226252,-13834.638984613612,15369.821760394996,12403.692432763604,-5706.5648572827067,-2913.4985848128617,4276.8611187171336,5196.4575340597003
0.016500000000000001,-3368.0228545230602,-5984.0826765955353,5982.5787767802212,9145.7491685028763,-1759.7068830164353,-1857.9401606344381,398.63284511180063,-2557.2082156254291
0.017000000000000001,160.6437791872977,-5254.1737998005265,4573.19361805886,8101.7534354903037,-1015.9951528088277,898.45530759323992,-525.83725008148394,-6938.0399376388614
0.017500000000000002,-5178.6947004645153,-10539.803735378351,10137.02740139181,9435.7762298867492,-3897.9695455367873,5977.7882325952123,1738.1845790288335,-7672.3084615229636
0.017999999999999999,-12799.907760668837,-15024.639734784872,17237.33082229588,9914.7955429573612,-7079.8405033847448,10285.115125476668,5024.4609832046572,-7557.3144750961119
0.018499999999999999,-15526.679709322509,-13922.801919222071,20620.254845159645,7977.1805943530517,-6607.8103012711144,10779.969992483351,7451.1177040641896,-10771.231206244542
0.019,-10925.674842710525,-8489.6294070617769,17832.850370880667,5637.4009199261664,-2016.5967566990719,7284.2100560509789,8180.7996906109202,-17503.360030997352
0.0195,-2821.0304227881425,-3271.0701236851646,9556.0570388786982,4954.1501655756874,3323.0761446046604,2274.9855637685832,7599.7343735743798,-21615.902739928701
0.02,2072.7188876858545,-1105.2047719219454,-284.49672845603664,5039.6037622586337,5909.5697034113518,-967.27051170096911,6845.895740923228,-17510.816082200119
0.020500000000000001,1116.2092456798164,-292.82320802619415,-6939.2556259640451,3276.376209105742,5576.0024479207887,-960.9497759689848,6353.1104252273744,-8128.6697179744924
0.021000000000000001,-1662.107979805709,2663.2617520735585,-8699.3244969831121,-651.28641251246154,4549.9491224552394,925.37122891966646,5104.9593410208208,-2230.8225551679952
0.021499999999999998,-1344.6590960980939,7963.2043526658981,-7532.0550015345798,-4105.4579591350303,3969.1227760746297,2018.6135605227573,2511.7494491247217,-3480.518081620321
0.021999999999999999,1314.7030504608847,11180.719710614561,-4828.4734939204536,-4661.7488357920374,2717.0855992587058,1166.5716091146278,-192.69744582375279,-6696.160193912543
0.022499999999999999,2488.1812471901867,9073.2268564391725,-927.70314879096077,-2566.0767563744885,380.13373158828472,-300.63641339603055,-1572.2740377891587,-6574.8514788670036
0.023,3021.4475404688733,5381.5721246129697,1661.6752942637991,431.25265739702172,-674.59216254896455,-1885.790965081248,-2429.8358752404392,-5505.7286138720156
0.0235,8675.7211772046903,7794.9519328158667,-2149.0298610105619,2675.210097788487,2221.5039296899022,-6130.032756949613,-4595.7919192801401,-8492.5326002586316
0.024,20662.318701197568,17746.678540481978,-13842.755898048454,2985.4230040317261,7987.3854115860258,-14240.946760132214,-7706.5838459426195,-13591.51915317402
0.024500000000000001,29901.932062506457,26902.102884251508,-26918.005480527539,792.40909749743514,12309.216050491852,-20538.043029609024,-8700.6866483636477,-13748.924936247047
0.025000000000000001,24757.055196202466,25822.92764241316,-30202.243881355527,-2622.5619200682559,12003.862605839442,-15920.580399849714,-5422.8527406424764,-8415.6065025390963
0.025499999999999998,4956.605924497273,14748.148370397035,-17784.099909168774,-4624.905396629023,7561.6199242830262,1044.1078998817502,448.25647868929445,-6349.7332919505825
0.025999999999999999,-14378.395351292063,2941.2144881692238,3651.6972513746914,-3383.9705015466934,1493.3487583528658,18988.399793199991,4283.3464088063483,-13595.640847064351
0.026499999999999999,-13681.479145062774,-126.71226148696405,15808.931525226566,145.60292348163512,-3192.215919789026,22429.73740537358,2300.6836973560125,-23684.548225099032
0.027,13438.738591116722,8556.9567159329017,2138.4085192489433,2714.5672829020282,-3199.8482249087747,6452.9936197017323,-5265.810017926633,-24836.006486066919
0.0275,50147.283244888014,24388.630610783621,-33910.22242455856,980.59989893637794,2956.6269531363441,-16812.350530400588,-13629.391498836952,-14121.176253948264
0.028000000000000001,65381.110889536089,36509.086730850584,-64891.097553999898,-5421.2977505967174,11649.960514975215,-26924.036860973756,-16321.519732576206,17.793762784665887
0.028500000000000001,40605.036440516633,33819.871184614371,-62182.093172748442,-12217.71190366524,15955.899526727513,-13215.763489062101,-10458.32270027191,7693.0841138891738
0.029000000000000001,-8919.4237064670488,15387.004756707864,-25216.200456846298,-13328.78943827235,12456.4011006115,14319.560965430426,-775.02753085104996,6076.474309686957
0.029499999999999998,-45115.594493891542,-5740.1364739550954,17310.114280587757,-7757.0676661979815,4324.2746711648215,34764.386694811139,3117.2481261051253,-903.22513862422784
0.029999999999999999,-44330.339226487842,-14920.738078966024,38502.849746551685,-1673.7702464569593,-3547.6833297632256,38048.008957084327,-4022.7878413755825,-8055.5399805863781
0.030499999999999999,-19719.7521945874,-11940.363348186344,38690.264079638815,-931.74033202251985,-9639.906860085217,33043.392371557675,-16385.96966176292,-13115.924054552092
0.031,-2780.9569515511994,-9876.5451372328353,36450.50029427636,-2919.1934842076225,-14517.775499199277,32311.914214133511,-22315.415080109266,-16352.528356109691
0.0315,-7687.1781436493584,-17291.690485261614,41611.190237872623,-135.20265843782181,-17168.748587942533,35059.925280352618,-16689.166748176493,-17699.128894757418
0.032000000000000001,-20929.642832055521,-27620.094195696107,46942.976375915285,9149.4159313429554,-15723.694033133388,30915.575232748663,-6015.6733173684624,-16718.863161753405
0.032500000000000001,-23219.892462257347,-28899.994334582687,43463.558694907304,18140.275611958987,-10747.13189594938,16697.32617210977,-456.16051088814856,-14977.981275298513
0.033000000000000002,-12261.85175071803,-19591.837065111205,33599.56452720883,20122.983057835812,-5422.8423051323443,1972.8886352833106,-3343.574617597993,-15075.330481768377
0.033500000000000002,-701.88141156627898,-9480.84461797718,25420.013756846558,15493.40072879947,-2206.9059591045661,-2540.571149179088,-9611.3819735281395,-16371.829374290792
0.034000000000000002,1644.1370974736019,-6997.0133323690361,21300.330407818408,9155.9250038582086,-827.59087640583311,3077.0505459540054,-12572.642843854803,-14780.196002474562
0.034500000000000003,-2917.9167959812494,-10498.597435718402,17502.867254954719,4386.7278839890241,298.8112512165826,9800.3925797250413,-10210.298706241731,-8361.9860319439795
0.035000000000000003,-6420.6092834716392,-12541.637113968323,11803.026550461977,1452.893850146902,1779.511608714718,10478.865029313596,-5432.7662864565564,-1119.2843547406774
0.035499999999999997,-4804.2163557835775,-8466.8080364429625,5482.2278098370789,-650.45903923229162,2970.7231164606164,6098.4627944315052,-1747.250800417798,1117.3205111474272
0.035999999999999997,-252.69060252532245,47.374785639564834,-332.98833575474123,-2957.5769011717812,3026.686377621339,2388.1099955438326,25.713804138422574,-1944.6291234913133
0.036499999999999998,2156.1462725319116,6857.1274544918069,-4840.1566677556184,-5339.8528500670664,1552.7841516651554,2342.1218139936441,1300.2236530726909,-4028.3938279325221
0.036999999999999998,725.58670020177442,8737.3292522646079,-8710.3841339446117,-7206.3237122753353,-39.529442381907302,1967.5078310624847,3931.5543347954113,594.25917027757669
0.037499999999999999,239.56279526065646,9735.7680426039042,-15687.230737267229,-8338.9311747451939,1300.8949052452635,-6082.0466537579823,8026.1759882119059,10805.806834448675
0.037999999999999999,6491.8347300126679,16523.806210513754,-31681.98229006214,-9755.2410968647637,7520.2656453679429,-22616.917456231324,11826.66085156265,21691.573405701205
